Long_Desc                                                                    DHA
Pie, fried pies, fruit                                                       0.0
Pie, coconut custard, commercially prepared                                  0.0
Pie, coconut cream, prepared from mix, no-bake type                          0.0
Cookies, chocolate sandwich, with extra creme filling                        0.0
Cookies, chocolate sandwich, with creme filling, special dietary             0.0
Pie, coconut creme, commercially prepared                                    0.0
Crackers, water biscuits                                                     0.0
Bread, multi-grain (includes whole-grain)                                    0.0
Cookies, animal crackers (includes arrowroot, tea biscuits)                  0.0
Cake, pudding-type, german chocolate, dry mix                                0.0
Crackers, standard snack-type, sandwich, with cheese filling                 0.0
Crackers, standard snack-type, regular                                       0.0
Rolls, gluten-free, whole grain, made with tapioca starch and brown ri       0.0
Bread, italian                                                               0.0
Cookies, gluten-free, lemon wafer                                            0.0
Bread, multi-grain, toasted (includes whole-grain)                           0.0
Coffeecake, cinnamon with crumb topping, dry mix                             0.0
Crackers, cheese, regular                                                    0.0
Crackers, saltines (includes oyster, soda, soup)                             0.0
Crackers, cheese, sandwich-type with peanut butter filling                   0.0
Crackers, rye, wafers, seasoned                                              0.0
Bread, oat bran                                                              0.0
Crackers, rye, wafers, plain                                                 0.0
Bread, oat bran, toasted                                                     0.0
Cookies, gluten-free, vanilla sandwich, with creme filling                   0.0
Bread, gluten-free, white, made with potato extract, rice starch, and        0.0
Bread, oatmeal                                                               0.0
Bread, oatmeal, toasted                                                      0.0
Bread, pita, white, enriched                                                 0.0
Crackers, standard snack-type, sandwich, with peanut butter filling          0.0
Crackers, wheat, regular                                                     0.0
Cookie, butter or sugar, with chocolate icing or filling                     0.0
Bread, french or vienna, toasted (includes sourdough)                        0.0
Crackers, whole-wheat                                                        0.0
Biscuits, plain or buttermilk, refrigerated dough, lower fat, baked          0.0
Crackers, wheat, sandwich, with peanut butter filling                        0.0
Biscuits, plain or buttermilk, refrigerated dough, higher fat                0.0
Crackers, wheat, sandwich, with cheese filling                               0.0
Biscuits, plain or buttermilk, refrigerated dough, higher fat, baked         0.0
Biscuits, plain or buttermilk, prepared from recipe                          0.0
Biscuits, mixed grain, refrigerated dough                                    0.0
Cookies, oatmeal, reduced fat                                                0.0
Bread, boston brown, canned                                                  0.0
Bread, cornbread, dry mix, enriched (includes corn muffin mix)               0.0
Pancakes, gluten-free, frozen, ready-to-heat                                 0.0
Cookies, gluten-free, chocolate wafer                                        0.0
Waffles, gluten-free, frozen, ready-to-heat                                  0.0
Cake, gingerbread, dry mix                                                   0.0
Bread, cracked-wheat                                                         0.0
Crackers, gluten-free, multi-seeded and multigrain                           0.0
Crackers, gluten-free, multigrain and vegetable, made with corn starch       0.0
Bread, french or vienna (includes sourdough)                                 0.0
Crackers, rye, sandwich-type with cheese filling                             0.0
Cookies, coconut macaroon                                                    0.0
Bread, gluten-free, white, made with rice flour, corn starch, and/or t       0.0
Cake, white, prepared from recipe with coconut frosting                      0.0
Bread, wheat, toasted                                                        0.0
Bread, wheat bran                                                            0.0
Bread, white, commercially prepared (includes soft bread crumbs)             0.0
Bread, white, commercially prepared, toasted                                 0.0
Bread, white, prepared from recipe, made with nonfat dry milk                0.0
Cookies, shortbread, reduced fat                                             0.0
Bread, white, prepared from recipe, made with low fat (2%) milk              0.0
Bread, whole-wheat, commercially prepared                                    0.0
Bread, whole-wheat, commercially prepared, toasted                           0.0
Bread, whole-wheat, prepared from recipe                                     0.0
Bread, whole-wheat, prepared from recipe, toasted                            0.0
Bread crumbs, dry, grated, plain                                             0.0
Bread sticks, plain                                                          0.0
Bread stuffing, bread, dry mix                                               0.0
Bread stuffing, bread, dry mix, prepared                                     0.0
Bread stuffing, cornbread, dry mix, prepared                                 0.0
Cake, angelfood, dry mix                                                     0.0
Cake, angelfood, dry mix, prepared                                           0.0
Crackers, crispbread, rye                                                    0.0
Bread, wheat                                                                 0.0
Bread, rye, toasted                                                          0.0
Bread, rye                                                                   0.0
Bread, raisin, enriched                                                      0.0
Bread, gluten-free, white, made with tapioca starch and brown rice flo       0.0
Cake, pudding-type, chocolate, dry mix                                       0.0
Bread, pita, whole-wheat                                                     0.0
Crackers, melba toast, rye (includes pumpernickel)                           0.0
Bread, protein (includes gluten)                                             0.0
Bread, pumpernickel                                                          0.0
Cake, chocolate, commercially prepared with chocolate frosting, in-sto       0.0
Bread, pumpernickel, toasted                                                 0.0
Bread, raisin, enriched, toasted                                             0.0
Bread, rice bran                                                             0.0
Bread, reduced-calorie, oat bran                                             0.0
Bread, reduced-calorie, oat bran, toasted                                    0.0
Crackers, melba toast, plain                                                 0.0
Crackers, matzo, whole-wheat                                                 0.0
Bread, gluten-free, whole grain, made with tapioca starch and brown ri       0.0
Bread, reduced-calorie, rye                                                  0.0
Bread, reduced-calorie, wheat                                                0.0
Bread, reduced-calorie, white                                                0.0
Biscuits, plain or buttermilk, refrigerated dough, lower fat                 0.0
Biscuits, plain or buttermilk, dry mix                                       0.0
Biscuits, plain or buttermilk, frozen, baked                                 0.0
Cookies, oatmeal sandwich, with creme filling                                0.0
Frozen yogurts, chocolate                                                    0.0
Doughnuts, cake-type, plain, chocolate-coated or frosted                     0.0
Cake, yellow, commercially prepared, with chocolate frosting, in-store       0.0
UDI'S, Gluten Free, Soft & Hearty Whole Grain Bread                          0.0
Cake, white, prepared from recipe without frosting                           0.0
Cake, pudding-type, white, enriched, dry mix                                 0.0
Cookies, chocolate chip sandwich, with creme filling                         0.0
Cookies, chocolate, made with rice cereal                                    0.0
UDI'S, Gluten Free, Soft & Delicious White Sandwich Bread                    0.0
SCHAR, Gluten-Free, Wheat-Free, Classic White Bread                          0.0
SCHAR, Gluten-Free, Classic White Rolls                                      0.0
SAGE VALLEY, Gluten Free Vanilla Sandwich Cookies                            0.0
RUDI'S, Gluten-Free Bakery, Original Sandwich Bread                          0.0
Cookies, brownies, commercially prepared, reduced fat, with added fibe       0.0
Syrups, grenadine                                                            0.0
Cookies, chocolate sandwich, with creme filling, reduced fat                 0.0
Tortillas, ready-to-bake or -fry, whole wheat                                0.0
Frozen yogurts, flavors other than chocolate                                 0.0
Rolls, gluten-free, white, made with rice flour, rice starch, and corn       0.0
VAN'S, Gluten Free, Totally Original Waffles                                 0.0
VAN'S, Gluten Free, Totally Original Pancakes                                0.0
UDI'S, Gluten Free, Whole Grain Dinner Rolls                                 0.0
Puff pastry, frozen, ready-to-bake, baked                                    0.0
Cookies, sugar wafer, chocolate-covered                                      0.0
Cookie, chocolate, with icing or coating                                     0.0
Cookies, vanilla wafers, higher fat                                          0.0
Cracker meal                                                                 0.0
Pectin, liquid                                                               0.0
CRUNCHMASTER, Multi-Grain Crisps, Snack Crackers, Gluten-Free                0.0
Milk dessert, frozen, milk-fat free, chocolate                               0.0
Croutons, plain                                                              0.0
Cookies, vanilla sandwich with creme filling, reduced fat                    0.0
Crackers, cheese, whole grain                                                0.0
Cookies, Marie biscuit                                                       0.0
Bagels, plain, enriched, with calcium propionate (includes onion, popp       0.0
Bagels, plain, enriched, with calcium propionate (includes onion, popp       0.0
Crackers, flavored, fish-shaped                                              0.0
Cookies, gluten-free, chocolate sandwich, with creme filling                 0.0
Cookies, chocolate cream covered biscuit sticks                              0.0
Bagels, cinnamon-raisin                                                      0.0
Cake, pudding-type, marble, dry mix                                          0.0
Waffles, whole wheat, lowfat, frozen, ready-to-heat                          0.0
Bread, chapati or roti, plain, commercially prepared                         0.0
Bagels, cinnamon-raisin, toasted                                             0.0
Bread, naan, plain, commercially prepared, refrigerated                      0.0
Bagels, oat bran                                                             0.0
Crackers, standard snack-type, with whole wheat                              0.0
GLUTINO, Gluten Free Cookies, Chocolate Vanilla Creme                        0.0
Croutons, seasoned                                                           0.0
GLUTINO, Gluten Free Cookies, Vanilla Creme                                  0.0
Cookies, graham crackers, plain or honey, lowfat                             0.0
Frozen novelties, ice cream type, vanilla ice cream, light, no sugar a       0.0
Cookies, peanut butter, commercially prepared, sugar free                    0.0
Cake, white, dry mix, special dietary (includes lemon-flavored)              0.0
Cookies, peanut butter, commercially prepared, regular                       0.0
Cake, snack cakes, creme-filled, sponge                                      0.0
GLUTINO, Gluten Free Wafers, Lemon Flavored                                  0.0
PEPPERIDGE FARM, Goldfish, Baked Snack Crackers, Pizza                       0.0
PEPPERIDGE FARM, Goldfish, Baked Snack Crackers, Parmesan                    0.0
Cake, snack cakes, creme-filled, chocolate with frosting                     0.0
Cake, shortcake, biscuit-type, prepared from recipe                          0.0
PEPPERIDGE FARM, Goldfish, Baked Snack Crackers, Original                    0.0
GLUTINO, Gluten Free Wafers, Milk Chocolate                                  0.0
Cookies, marshmallow, with rice cereal and chocolate chips                   0.0
Bread, wheat, sprouted, toasted                                              0.0
Beans, liquid from stewed kidney beans                                       0.0
Beans, chili, barbecue, ranch style, cooked                                  0.0
Pie fillings, cherry, low calorie                                            0.0
Chewing gum, sugarless                                                       0.0
Candies, chocolate covered, low sugar or low calorie                         0.0
Candies, hard, dietetic or low calorie (sorbitol)                            0.0
Candies, gum drops, no sugar or low calorie (sorbitol)                       0.0
Candies, nougat, with almonds                                                0.0
Candies, chocolate covered, caramel with nuts                                0.0
Jams and preserves, no sugar (with sodium saccharin), any flavor             0.0
Jellies, no sugar (with sodium saccharin), any flavors                       0.0
Syrups, sugar free                                                           0.0
Vermicelli, made from soy                                                    0.0
Chicken, meatless                                                            0.0
Frankfurter, meatless                                                        0.0
Bacon bits, meatless                                                         0.0
Sweeteners, tabletop, saccharin (sodium saccharin)                           0.0
Eggplant, pickled                                                            0.0
Cabbage, mustard, salted                                                     0.0
Cabbage, japanese style, fresh, pickled                                      0.0
Radishes, hawaiian style, pickled                                            0.0
Vegetarian meatloaf or patties                                               0.0
Sandwich spread, meatless                                                    0.0
Vegetarian fillets                                                           0.0
Meatballs, meatless                                                          0.0
