|NDB_No|FdGrp_Cd|Long_Desc|DHA
5748|18243|1800|Croutons, seasoned|0.0
8158|28357|1800|GLUTINO, Gluten Free Cookies, Vanilla Creme|0.0
8104|28302|1800|Cookies, graham crackers, plain or honey, lowfat|0.0
8563|42074|1900|Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated|0.0
8103|28301|1800|Cookies, peanut butter, commercially prepared, sugar free|0.0
5654|18131|1800|Cake, white, dry mix, special dietary (includes lemon-flavored)|0.0
5696|18185|1800|Cookies, peanut butter, commercially prepared, regular|0.0
5653|18128|1800|Cake, snack cakes, creme-filled, sponge|0.0
8159|28358|1800|GLUTINO, Gluten Free Wafers, Lemon Flavored|0.0
8166|28365|1800|PEPPERIDGE FARM, Goldfish, Baked Snack Crackers, Pizza|0.0
8165|28364|1800|PEPPERIDGE FARM, Goldfish, Baked Snack Crackers, Parmesan|0.0
5652|18127|1800|Cake, snack cakes, creme-filled, chocolate with frosting|0.0
5651|18126|1800|Cake, shortcake, biscuit-type, prepared from recipe|0.0
8164|28363|1800|PEPPERIDGE FARM, Goldfish, Baked Snack Crackers, Original|0.0
8160|28359|1800|GLUTINO, Gluten Free Wafers, Milk Chocolate|0.0
8132|28330|1800|Cookies, marshmallow, with rice cereal and chocolate chips|0.0
8119|28317|1800|Bread, wheat, sprouted, toasted|0.0
8661|43125|1600|Beans, liquid from stewed kidney beans|0.0
8659|43112|1600|Beans, chili, barbecue, ranch style, cooked|0.0
8656|43098|1900|Pie fillings, cherry, low calorie|0.0
8653|43060|1900|Chewing gum, sugarless|0.0
8652|43059|1900|Candies, chocolate covered, low sugar or low calorie|0.0
8651|43058|1900|Candies, hard, dietetic or low calorie (sorbitol)|0.0
8650|43057|1900|Candies, gum drops, no sugar or low calorie (sorbitol)|0.0
8649|43046|1900|Candies, nougat, with almonds|0.0
8648|43031|1900|Candies, chocolate covered, caramel with nuts|0.0
8647|43028|1900|Jams and preserves, no sugar (with sodium saccharin), any flavor|0.0
8646|43027|1900|Jellies, no sugar (with sodium saccharin), any flavors|0.0
