row      NDB_No  FdGrp_Cd                                          Long_Desc  VITA_RAE
2020    8582       800  Cereals ready-to-eat, GENERAL MILLS, DORA THE ...     522.0
1774    8001       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-B...     522.0
1853    8130       800  Cereals, QUAKER, Instant Oatmeal, maple and br...     520.0
3211   11516      1100                   Sweet potato, frozen, unprepared     518.0
2959   11207      1100       Dandelion greens, raw (Taraxacum officinale)     508.0
1942    8376       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S MARSH...     507.0
2029    8592       800  Cereals ready-to-eat, GENERAL MILLS, CHEERIOS,...     506.0
1992    8513       800  Cereals ready-to-eat, GENERAL MILLS, CHOCOLATE...     505.0
1924    8309       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S HONEY...     502.0
1828    8087       800  Cereals ready-to-eat, GENERAL MILLS, Multi-Gra...     502.0
1792    8030       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S FROOT...     501.0
1856    8138       800  Cereals ready-to-eat, MALT-O-MEAL, MARSHMALLOW...     500.0
8606   42236       800  Cereals ready-to-eat, frosted oat cereal with ...     500.0
2025    8588       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S CINNA...     500.0
1815    8067       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECI...     500.0
1777    8005       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-B...     500.0
1974    8487       800  Cereals ready-to-eat, MALT-O-MEAL, Blueberry M...     500.0
1921    8288       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE ...     500.0
2982   11233      1100     Kale, raw (Brassica oleracea (Acephala Group))     500.0
1944    8383       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECI...     499.0
1979    8494       800  Cereals ready-to-eat, MALT-O-MEAL, CINNAMON TO...     498.0
1821    8077       800  Cereals ready-to-eat, GENERAL MILLS, Whole Gra...     498.0
1910    8263       800  Cereals ready-to-eat, GENERAL MILLS, APPLE CIN...     498.0
2023    8586       800  Cereals ready-to-eat, GENERAL MILLS, 25% Less ...     498.0
1882    8194       800  Cereals ready-to-eat, GENERAL MILLS, REESE'S P...     495.0
3021   11274      1100  Mustard spinach, (tendergreen), raw (Brassica ...     495.0
1958    8436       800  Cereals, QUAKER, Instant Oatmeal, Raisin and S...     494.0
1907    8259       800   Cereals ready-to-eat, KELLOGG, KELLOGG'S CRISPIX     494.0
1787    8020       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S Corn ...     490.0
3169   11461      1100      Spinach, canned, regular pack, drained solids     490.0
7819   28011      1800           KELLOGG'S, EGGO, Waffles, Cinnamon Toast     489.0
