|NDB_No|FdGrp_Cd|Long_Desc|CAFFN
6238|19221|1900|Rennin, chocolate, dry mix, prepared with whole milk|1.0
4361|14352|1400|Beverages, tea, black, brewed, prepared with tap water, decaffeinated|1.0
4168|14063|1400|Beverages, chocolate powder, no sugar added|1.0
6231|19213|1900|Rennin, chocolate, dry mix, prepared with 2% milk|1.0
2030|8593|800|Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Chocolate|1.0
4433|14558|1400|Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients, prepared with whole milk|1.0
5807|18312|1800|Pie, chocolate mousse, prepared from mix, no-bake type|1.0
4271|14202|1400|Beverages, coffee, brewed, espresso, restaurant-prepared, decaffeinated|1.0
4270|14201|1400|Beverages, coffee, brewed, prepared with tap water, decaffeinated|1.0
2031|8594|800|Cereals ready-to-eat, GENERAL MILLS, Chocolate CHEX|1.0
4284|14219|1400|Beverages, coffee, instant, decaffeinated, prepared with water|1.0
1913|8270|800|Cereals ready-to-eat, GENERAL MILLS, COUNT CHOCULA|1.0
6674|21033|2100|Fast foods, sundae, hot fudge|1.0
206|1242|100|Ice cream sandwich, vanilla, light, no sugar added|1.0
314|3000|300|Clif Z bar|1.0
6155|19123|1900|Puddings, chocolate, dry mix, instant, prepared with 2% milk|1.0
205|1241|100|Ice cream sandwich, made with light ice cream, vanilla|1.0
4103|13961|1300|"Beef, chuck, mock tender steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled"|0.0
5714|18208|1800|Cookies, sugar, prepared from recipe, made with margarine|0.0
5713|18206|1800|Cookies, sugar, refrigerated dough, baked|0.0
5719|18213|1800|Cookies, vanilla wafers, higher fat|0.0
5662|18144|1800|Cake, yellow, enriched, dry mix|0.0
5841|18354|1800|Strudel, apple|0.0
4100|13957|1300|"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted"|0.0
4101|13958|1300|"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, select, raw"|0.0
4102|13959|1300|"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled"|0.0
