Ferum/Iron values are in mg per 100g
Daily needed value is 18mg

      NDB_No  FdGrp_Cd                                          Long_Desc      FE
1882    8194       800  Cereals ready-to-eat, GENERAL MILLS, REESE'S P...   15.50
1792    8030       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S FROOT...   15.50
2064    8655       800  Cereals ready-to-eat, POST, HONEY BUNCHES OF O...   15.50
1942    8376       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S MARSH...   15.50
1973    8484       800  Cereals ready-to-eat, MALT-O-MEAL, Raisin Bran...   15.25
3698   12170      1200                      Seeds, sesame flour, high-fat   15.17
2076    8669       800  Cereals ready-to-eat, GENERAL MILLS, FIBER ONE...   15.00
1968    8469       800  Cereals ready-to-eat, KELLOGG'S, Reduced Sugar...   15.00
2086    8679       800  Cereals ready-to-eat, GENERAL MILLS, FROSTED T...   15.00
2068    8659       800  Cereals ready-to-eat, KELLOGG'S FROSTED FLAKES...   15.00
2003    8553       800  Cereals ready-to-eat, GENERAL MILLS, CHEERIOS,...   15.00
2067    8658       800  Cereals ready-to-eat, KELLOGG'S KRAVE double c...   15.00
1884    8202       800  Cereals ready-to-eat, GENERAL MILLS, OATMEAL C...   15.00
1902    8244       800  Cereals ready-to-eat, GENERAL MILLS, FIBER ONE...   15.00
1910    8263       800  Cereals ready-to-eat, GENERAL MILLS, APPLE CIN...   15.00
2061    8651       800  Cereals ready-to-eat, GENERAL MILLS, FIBER ONE...   15.00
2051    8635       800  Cereals ready-to-eat, GENERAL MILLS, COCOA PUF...   15.00
1777    8005       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-B...   15.00
8606   42236       800  Cereals ready-to-eat, frosted oat cereal with ...   15.00
3620   12024      1200    Seeds, sesame seeds, whole, roasted and toasted   14.76
7702   25005      2500  Formulated bar, MARS SNACKFOOD US, SNICKERS MA...   14.67
3619   12023      1200  Seeds, sesame seeds, whole, dried (Sesamum ind...   14.55
3624   12034      1200             Seeds, sesame meal, partially defatted   14.55
2077    8670       800  Cereals ready-to-eat, GENERAL MILLS, HONEY NUT...   14.50
1903    8245       800  Cereals ready-to-eat, GENERAL MILLS, OATMEAL C...   14.50
6420   19859      1900      Cocoa, dry powder, hi-fat or breakfast, plain   14.50
6421   19860      1900  Cocoa, dry powder, hi-fat or breakfast, proces...   14.50
2041    8615       800  Cereals ready-to-eat, KELLOGG'S CRUNCHY NUT Go...   14.50
2050    8634       800  Cereals ready-to-eat, GENERAL MILLS, PEANUT BU...   14.50
5009   16422      1600                Soy protein isolate, potassium type   14.50
2062    8652       800  Cereals ready-to-eat, KELLOGG'S KRAVE chocolat...   14.50
1796    8035       800  Cereals ready-to-eat, GENERAL MILLS, GOLDEN GR...   14.50
2105    8699       800       Cereals ready-to-eat, KELLOGG'S KRAVE Smores   14.50
4858   16122      1600                                Soy protein isolate   14.50
1782    8014       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S COCOA...   14.50
281     2032       200               Spices, pepper, white (Piper nigrum)   14.31
3622   12032      1200            Seeds, sesame flour, partially defatted   14.30
3623   12033      1200                       Seeds, sesame flour, low-fat   14.22
7716   25021      2500      Formulated bar, LUNA BAR, NUTZ OVER CHOCOLATE   14.20
1807    8057       800  Cereals ready-to-eat, GENERAL MILLS, Honey Nut...   14.10
255     2006       200            Spices, cardamom (Elettaria cardamomum)   13.97
4636   15158      1500  Mollusks, clam, mixed species, cooked, breaded...   13.91
271     2022       200          Spices, mace, ground (Myristica fragrans)   13.90
