Long_Desc                                                                  VITA_RAE
KELLOGG'S, POP-TARTS, Frosted Blueberry Muffin Toaster Pastries            300.0
KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted Rainbow Chip Toaster Pa     300.0
KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted Hot Fudge Sundae Toaste     300.0
KELLOGG'S, POP-TARTS, Frosted Wild Strawberry Toaster Pastries             300.0
KELLOGG'S, POP-TARTS, Frosted Wild Fruit Fusion Toaster Pastries           300.0
KELLOGG'S, POP-TARTS, Gingerbread Toaster Pastries                         300.0
KELLOGG'S, POP-TARTS, Frosted Sugar Cookie Toaster Pastries                300.0
KELLOGG'S, POP-TARTS, Frosted Cinnamon Roll Toaster Pastries               300.0
Toaster Pastries, KELLOGG, KELLOGG'S LOW FAT POP TARTS, Frosted strawb     300.0
KELLOGG'S, POP-TARTS, Chocolate Chip Cookie Dough Toaster Pastries         300.0
KELLOGG'S, POP-TARTS, Yum-azing Vanilla Milkshake Toaster Pastries         300.0
KELLOGG'S, POP-TARTS, Frosted Orange Cream Toaster Pastries                300.0
KELLOGG'S, POP-TARTS, Frosted Waffle Cone Toaster Pastries                 300.0
KELLOGG'S, POP-TARTS, Frosted Pumpkin Pie Toaster Pastries                 300.0
Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Caramel Delight            298.0
Turnip greens, canned, no salt added                                       298.0
Spices, sage, ground (Salvia officinalis)                                  295.0
Spices, coriander leaf, dried (Coriandrum sativum)                         293.0
Spices, chervil, dried (Anthriscus cerefolium)                             293.0
Spices, dill weed, dried (Anethum graveolens)                              293.0
KELLOGG'S, POP-TARTS, Frosted Spring Berry Toaster Pastries                289.0
Peas and carrots, canned, regular pack, solids and liquids                 289.0
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted raspberry          289.0
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted wild berry         289.0
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted cherry             289.0
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Blueberry                  289.0
Pumpkin, cooked, boiled, drained, with salt                                288.0
Cream puff shell, prepared from recipe                                     288.0
Pumpkin, cooked, boiled, drained, without salt                             288.0
KELLOGG'S, EGGO, Pancakes, Blueberry                                       286.0
KELLOGG'S, EGGO, Pancakes, Chocolate Chip                                  286.0
KELLOGG'S, CINNABON, Pancakes, Original                                    286.0
Chicory greens, raw (Cichorium intybus)                                    286.0
KELLOGG'S, CINNABON, Pancakes, Caramel                                     286.0
Breakfast tart, low fat                                                    285.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S, RAISIN BRAN CRUNCH               283.0
Peppers, sweet, green, freeze-dried                                        282.0
Cereals ready-to-eat, GENERAL MILLS, TOTAL Raisin Bran                     281.0
Jute, potherb, raw (Corchorus olitorius)                                   278.0
KELLOGG'S, EGGO Minis, Pancakes, Buttermilk                                273.0
Pie crust, cookie-type, prepared from recipe, vanilla wafer, chilled       269.0
Cereals ready-to-eat, GENERAL MILLS, BASIC 4                               265.0
Basil, fresh (Ocimum basilicum)                                            264.0
Grape leaves, canned                                                       263.0
Squash, winter, all varieties, cooked, baked, with salt                    261.0
Squash, winter, all varieties, cooked, baked, without salt                 261.0
Swamp cabbage (skunk  cabbage), cooked, boiled, drained, without salt      260.0
Seaweed, laver, raw (Porphyra laciniata)                                   260.0
