|NDB_No|FdGrp_Cd|Long_Desc|FE
1903|8245|800|Cereals ready-to-eat, GENERAL MILLS, OATMEAL CRISP, Hearty Raisin|14.5
6420|19859|1900|Cocoa, dry powder, hi-fat or breakfast, plain|14.5
6421|19860|1900|Cocoa, dry powder, hi-fat or breakfast, processed with alkali|14.5
2041|8615|800|Cereals ready-to-eat, KELLOGG'S CRUNCHY NUT Golden Honey Nut flakes|14.5
2050|8634|800|Cereals ready-to-eat, GENERAL MILLS, PEANUT BUTTER TOAST CRUNCH|14.5
5009|16422|1600|Soy protein isolate, potassium type|14.5
2062|8652|800|Cereals ready-to-eat, KELLOGG'S KRAVE chocolate cereal|14.5
1796|8035|800|Cereals ready-to-eat, GENERAL MILLS, GOLDEN GRAHAMS|14.5
2105|8699|800|Cereals ready-to-eat, KELLOGG'S KRAVE Smores|14.5
4858|16122|1600|Soy protein isolate|14.5
1782|8014|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S COCOA KRISPIES|14.5
517|3711|300|Babyfood, cereal, high protein, with apple and orange, prepared with whole milk|14.42
8350|35083|3500|Walrus, liver, raw (Alaska Native) (Odohenus rosmarus)|14.4
281|2032|200|Spices, pepper, white (Piper nigrum)|14.31
3622|12032|1200|Seeds, sesame flour, partially defatted|14.3
459|3205|300|Babyfood, oatmeal cereal with fruit, dry, instant, toddler fortified|14.3
3623|12033|1200|Seeds, sesame flour, low-fat|14.22
7716|25021|2500|Formulated bar, LUNA BAR, NUTZ OVER CHOCOLATE|14.2
1807|8057|800|Cereals ready-to-eat, GENERAL MILLS, Honey Nut CHEX|14.1
255|2006|200|Spices, cardamom (Elettaria cardamomum)|13.97
4636|15158|1500|Mollusks, clam, mixed species, cooked, breaded and fried|13.91
271|2022|200|Spices, mace, ground (Myristica fragrans)|13.9
1938|8363|800|Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Toasted Wheat Bran|13.88
6194|19165|1900|Cocoa, dry powder, unsweetened|13.86
4855|16119|1600|Soy meal, defatted, raw|13.7
1912|8268|800|Cereals ready-to-eat, GENERAL MILLS, FRANKENBERRY|13.6
1916|8273|800|Cereals ready-to-eat, GENERAL MILLS, BOO BERRY|13.6
8341|35072|3500|Seal, ringed, liver (Alaska Native) (Pusa hispida)|13.5
4870|16135|1600|Winged beans, mature seeds, raw (Psophocarpus tetragonolobus)|13.44
3612|12011|1200|Seeds, cottonseed meal, partially defatted (glandless)|13.35
7966|28162|1800|KELLOGG'S, Corn Flakes Crumbs|13.3
608|3964|300|Babyfood, fortified cereal bar, fruit filling|13.16
8327|35056|3500|Seal, bearded (Oogruk), meat, raw (Alaska Native) (Erignathus barbatus)|12.9
2018|8579|800|Cereals ready-to-eat, GENERAL MILLS, 25% Less Sugar CINNAMON TOAST CRUNCH|12.89
1116|5661|500|Chicken, liver, all classes, cooked, pan-fried|12.88
8607|42237|800|Cereals ready-to-eat, WEETABIX whole grain cereal|12.86
8676|43205|100|Beverage, instant breakfast powder, chocolate, not reconstituted|12.82
2056|8642|800|Cereals, QUAKER, Instant Oatmeal, Apple and Cinnamon, reduced sugar|12.77
3610|12007|1200|Seeds, cottonseed flour, partially defatted (glandless)|12.66
3611|12008|1200|Seeds, cottonseed flour, low fat (glandless)|12.58
5952|18562|1800|ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps|12.57
5294|17196|1700|Lamb, variety meats and by-products, kidneys, cooked, braised|12.4
1810|8060|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN|12.33
2989|11240|1100|Mushrooms, morel, raw (Morchella spp.)|12.18
511|3689|300|Babyfood, cereal, oatmeal, prepared with whole milk|12.14
508|3682|300|Babyfood, cereal, high protein, prepared with whole milk|12.14
5679|18166|1800|Cookies, chocolate sandwich, with creme filling, regular|12.14
2055|8641|800|Cereals, QUAKER, Instant Oatmeal, fruit and cream, variety of flavors, reduced sugar|12.13
4172|14067|1400|Beverages, Protein powder soy based|12.0
2053|8639|800|Cereals, QUAKER, Instant Oatmeal, Cinnamon Spice, reduced sugar|12.0
191|1224|100|Protein supplement, milk based, Muscle Milk Light, powder|12.0
4842|16106|1600|Meat extender|11.99
6452|19904|1900|Chocolate, dark, 70-85% cacao solids|11.9
