Long_Desc                                                                  CAFFN
Formulated bar, high fiber, chewy, oats and chocolate                        3.0
Cream substitute, flavored, powdered                                         3.0
Cream substitute, flavored, liquid                                           3.0
Frozen novelties, ice cream type, chocolate or caramel covered, with n       3.0
Cookies, graham crackers, chocolate-coated                                   3.0
Cookies, chocolate sandwich, with creme filling, reduced fat                 3.0
Milk dessert, frozen, milk-fat free, chocolate                               3.0
Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Protein Performan       3.0
Frostings, glaze, chocolate, prepared-from-recipe, with butter, NFSMI        3.0
Frozen yogurts, chocolate                                                    3.0
Beverages, chocolate-flavor beverage mix, powder, prepared with whole        3.0
Beverages, NESTEA, tea, black, ready-to-drink, lemon                         3.0
Frozen yogurts, chocolate, nonfat milk, sweetened without sugar              3.0
Frozen yogurts, chocolate, soft-serve                                        3.0
Beverages, tea, black, ready-to-drink, lemon, diet                           2.0
Nutritional supplement for people with diabetes, liquid                      2.0
Milk, chocolate beverage, hot cocoa, homemade                                2.0
Puddings, chocolate, dry mix, instant, prepared with whole milk              2.0
Soymilk, chocolate, nonfat, with added calcium, vitamins A and D             2.0
Puddings, chocolate, ready-to-eat                                            2.0
Ice cream, soft serve, chocolate                                             2.0
Milk dessert bar, frozen, made from lowfat milk                              2.0
Puddings, chocolate, dry mix, regular, prepared with 2% milk                 2.0
Beverages, LIPTON BRISK, tea, black, ready-to-drink, lemon                   2.0
Doughnuts, cake-type, plain, chocolate-coated or frosted                     2.0
Cookies, chocolate, made with rice cereal                                    2.0
Yogurt, chocolate, nonfat milk                                               2.0
Formulated Bar, SOUTH BEACH protein bar                                      2.0
Carbonated beverage, chocolate-flavored soda                                 2.0
Puddings, chocolate, dry mix, regular, prepared with whole milk              2.0
Cookies, chocolate cream covered biscuit sticks                              2.0
Soymilk, chocolate and other flavors, light, with added calcium, vitam       2.0
Beverages, Cocoa mix, powder, prepared with water                            2.0
Milk shakes, thick chocolate                                                 2.0
Beverages, cocoa mix, with aspartame, powder, prepared with water            2.0
Beverages, chocolate syrup, prepared with whole milk                         2.0
Yogurt, chocolate, nonfat milk, fortified with vitamin D                     2.0
Cereals ready-to-eat, POST, COCOA PEBBLES                                    2.0
Beverages, dairy drink mix, chocolate, reduced calorie, with aspartame       2.0
Frostings, chocolate, creamy, ready-to-eat                                   2.0
Soymilk, chocolate, unfortified                                              2.0
Cookies, brownies, commercially prepared                                     2.0
Ice creams, chocolate, light                                                 2.0
Soymilk, chocolate, with added calcium, vitamins A and D                     2.0
Puddings, chocolate, ready-to-eat, fat free                                  2.0
Beverages, Malted drink mix, chocolate, with added nutrients, powder,        2.0
Beverages, tea, black, ready to drink, decaffeinated, diet                   1.0
Milk, chocolate, fluid, commercial, reduced fat, with added calcium          1.0
Light Ice Cream, soft serve, blended with cookie pieces                      1.0
Candies, NESTLE, BUTTERFINGER Bar                                            1.0
Light Ice Cream, soft serve, blended with milk chocolate candies             1.0
Milk, chocolate, lowfat, with added vitamin A and vitamin D                  1.0
Beverages, Chocolate-flavored drink, whey and milk based                     1.0
Milk, chocolate, fluid, commercial, whole, with added vitamin A and vi       1.0
Beverages, tea, black, ready to drink, decaffeinated                         1.0
Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A        1.0
Doughnuts, cake-type, chocolate, sugared or glazed                           1.0
Beverages, chocolate malt powder, prepared with 1% milk, fortified           1.0
Milk, chocolate, fat free, with added vitamin A and vitamin D                1.0
Rennin, chocolate, dry mix, prepared with whole milk                         1.0
Beverages, tea, black, brewed, prepared with tap water, decaffeinated        1.0
Beverages, chocolate powder, no sugar added                                  1.0
Rennin, chocolate, dry mix, prepared with 2% milk                            1.0
Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Chocolate                     1.0
Beverages, chocolate-flavor beverage mix for milk, powder, with added        1.0
Pie, chocolate mousse, prepared from mix, no-bake type                       1.0
Beverages, coffee, brewed, espresso, restaurant-prepared, decaffeinate       1.0
Beverages, coffee, brewed, prepared with tap water, decaffeinated            1.0
Cereals ready-to-eat, GENERAL MILLS, Chocolate CHEX                          1.0
Beverages, coffee, instant, decaffeinated, prepared with water               1.0
Cereals ready-to-eat, GENERAL MILLS, COUNT CHOCULA                           1.0
Fast foods, sundae, hot fudge                                                1.0
Ice cream sandwich, vanilla, light, no sugar added                           1.0
Clif Z bar                                                                   1.0
Puddings, chocolate, dry mix, instant, prepared with 2% milk                 1.0
Ice cream sandwich, made with light ice cream, vanilla                       1.0
"Beef, chuck, mock tender steak, separable lean only, trimmed to 0"" f       0.0
Cookies, sugar, prepared from recipe, made with margarine                    0.0
Cookies, sugar, refrigerated dough, baked                                    0.0
Cookies, vanilla wafers, higher fat                                          0.0
Cake, yellow, enriched, dry mix                                              0.0
Strudel, apple                                                               0.0
"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed        0.0
