row      NDB_No  FdGrp_Cd                                          Long_Desc    DHA
8135   28333      1800              Cookies, gluten-free, chocolate wafer  0.000
8148   28346      1800        Waffles, gluten-free, frozen, ready-to-heat  0.000
5645   18114      1800                         Cake, gingerbread, dry mix  0.000
5582   18025      1800                               Bread, cracked-wheat  0.000
8147   28345      1800  Crackers, gluten-free, multi-seeded and multig...  0.000
8146   28344      1800  Crackers, gluten-free, multigrain and vegetabl...  0.000
5585   18029      1800       Bread, french or vienna (includes sourdough)  0.000
5731   18225      1800   Crackers, rye, sandwich-type with cheese filling  0.000
8111   28309      1800                          Cookies, coconut macaroon  0.000
8139   28337      1800  Bread, gluten-free, white, made with rice flou...  0.000
5636   18102      1800  Cake, white, prepared from recipe with coconut...  0.000
5611   18065      1800                              Bread, wheat, toasted  0.000
5612   18066      1800                                  Bread, wheat bran  0.000
5613   18069      1800  Bread, white, commercially prepared (includes ...  0.000
5614   18070      1800       Bread, white, commercially prepared, toasted  0.000
5615   18071      1800  Bread, white, prepared from recipe, made with ...  0.000
8112   28310      1800                   Cookies, shortbread, reduced fat  0.000
5616   18073      1800  Bread, white, prepared from recipe, made with ...  0.000
5617   18075      1800          Bread, whole-wheat, commercially prepared  0.000
5618   18076      1800  Bread, whole-wheat, commercially prepared, toa...  0.000
5619   18077      1800           Bread, whole-wheat, prepared from recipe  0.000
5620   18078      1800  Bread, whole-wheat, prepared from recipe, toasted  0.000
5621   18079      1800                   Bread crumbs, dry, grated, plain  0.000
5622   18080      1800                                Bread sticks, plain  0.000
5623   18081      1800                     Bread stuffing, bread, dry mix  0.000
5624   18082      1800           Bread stuffing, bread, dry mix, prepared  0.000
5626   18085      1800       Bread stuffing, cornbread, dry mix, prepared  0.000
5628   18087      1800                           Cake, angelfood, dry mix  0.000
5629   18088      1800                 Cake, angelfood, dry mix, prepared  0.000
5722   18216      1800                          Crackers, crispbread, rye  0.000
5610   18064      1800                                       Bread, wheat  0.000
5609   18061      1800                                Bread, rye, toasted  0.000
5608   18060      1800                                         Bread, rye  0.000
5599   18047      1800                            Bread, raisin, enriched  0.000
8140   28338      1800  Bread, gluten-free, white, made with tapioca s...  0.000
5634   18097      1800             Cake, pudding-type, chocolate, dry mix  0.000
5595   18042      1800                           Bread, pita, whole-wheat  0.000
5727   18221      1800  Crackers, melba toast, rye (includes pumpernic...  0.000
5596   18043      1800                   Bread, protein (includes gluten)  0.000
5597   18044      1800                                Bread, pumpernickel  0.000
5633   18096      1800  Cake, chocolate, commercially prepared with ch...  0.000
5598   18045      1800                       Bread, pumpernickel, toasted  0.000
5600   18048      1800                   Bread, raisin, enriched, toasted  0.000
5607   18059      1800                                   Bread, rice bran  0.000
5601   18049      1800                   Bread, reduced-calorie, oat bran  0.000
5602   18050      1800          Bread, reduced-calorie, oat bran, toasted  0.000
5726   18220      1800                       Crackers, melba toast, plain  0.000
5725   18219      1800                       Crackers, matzo, whole-wheat  0.000
8141   28339      1800  Bread, gluten-free, whole grain, made with tap...  0.000
5604   18053      1800                        Bread, reduced-calorie, rye  0.000
5605   18055      1800                      Bread, reduced-calorie, wheat  0.000
5606   18057      1800                      Bread, reduced-calorie, white  0.000
5571   18012      1800  Biscuits, plain or buttermilk, refrigerated do...  0.000
5569   18010      1800             Biscuits, plain or buttermilk, dry mix  0.000
5568   18009      1800       Biscuits, plain or buttermilk, frozen, baked  0.000
8102   28300      1800      Cookies, oatmeal sandwich, with creme filling  0.000
8592   42186      1900                          Frozen yogurts, chocolate  0.000
5754   18249      1800  Doughnuts, cake-type, plain, chocolate-coated ...  0.000
5659   18140      1800  Cake, yellow, commercially prepared, with choc...  0.000
8173   28372      1800  UDI'S, Gluten Free, Soft & Hearty Whole Grain ...  0.000
5658   18139      1800  Cake, white, prepared from recipe without fros...  0.000
5657   18135      1800       Cake, pudding-type, white, enriched, dry mix  0.000
8130   28328      1800  Cookies, chocolate chip sandwich, with creme f...  0.000
8131   28329      1800          Cookies, chocolate, made with rice cereal  0.000
